,Brand,Price,Body,Mileage,EngineV,Engine Type,Registration,Year,Model
0,BMW,4200.0,sedan,277,2.0,Petrol,yes,1991,320
1,Mercedes-Benz,7900.0,van,427,2.9,Diesel,yes,1999,Sprinter 212
2,Mercedes-Benz,13300.0,sedan,358,5.0,Gas,yes,2003,S 500
3,Audi,23000.0,crossover,240,4.2,Petrol,yes,2007,Q7
4,Toyota,18300.0,crossover,120,2.0,Petrol,yes,2011,Rav 4
5,Mercedes-Benz,199999.0,crossover,0,5.5,Petrol,yes,2016,GLS 63
6,BMW,6100.0,sedan,438,2.0,Gas,yes,1997,320
7,Audi,14200.0,vagon,200,2.7,Diesel,yes,2006,A6
8,Renault,10799.0,vagon,193,1.5,Diesel,yes,2012,Megane
9,Volkswagen,1400.0,other,212,1.8,Gas,no,1999,Golf IV
10,Renault,11950.0,vagon,177,1.5,Diesel,yes,2011,Megane
11,Renault,2500.0,sedan,260,1.79,Petrol,yes,1994,19
12,Audi,9500.0,vagon,165,2.7,Gas,yes,2003,A6 Allroad
13,Volkswagen,10500.0,sedan,100,1.8,Petrol,yes,2008,Passat B6
14,Toyota,16000.0,crossover,250,4.7,Gas,yes,2001,Land Cruiser 100
15,Renault,8600.0,hatch,84,1.5,Diesel,yes,2012,Clio
16,BMW,2990.0,other,203,2.0,Petrol,no,2001,318
17,Mercedes-Benz,18939.537220470535,van,240,2.2,Diesel,yes,2007,Vito
18,Toyota,26500.0,crossover,21,2.0,Petrol,yes,2013,Rav 4
19,Audi,3500.0,vagon,250,2.5,Diesel,no,1998,A6
20,Toyota,38233.0,other,0,2.4,Diesel,yes,2016,Hilux
21,Volkswagen,7500.0,hatch,132,1.4,Diesel,yes,2006,Polo
22,Audi,6800.0,sedan,225,2.4,Gas,yes,1998,A6
23,Mitsubishi,10500.0,crossover,130,2.4,Gas,yes,2006,Outlander
24,Audi,24900.0,sedan,163,4.2,Diesel,yes,2008,A8
25,Volkswagen,20800.0,crossover,151,3.0,Diesel,yes,2008,Touareg
26,Audi,6500.0,sedan,330,2.4,Petrol,yes,1999,A6
27,Mercedes-Benz,13566.0,other,171,2.2,Other,no,2011,Vito
28,Mitsubishi,8500.0,hatch,65,1.3,Petrol,yes,2010,Colt
29,Mercedes-Benz,18939.537220470535,crossover,0,4.6,Petrol,yes,2016,GLS 500
30,Audi,2900.0,sedan,1,2.3,Gas,yes,1989,100
31,BMW,21500.0,other,72,3.0,Petrol,yes,2007,Z4
32,Mitsubishi,17900.0,crossover,87,3.8,Gas,yes,2008,Pajero Wagon
33,BMW,28500.0,crossover,160,4.8,Gas,yes,2008,X5
34,Volkswagen,9800.0,van,160,1.9,Diesel,yes,2009,Caddy
35,Toyota,14500.0,sedan,147,2.4,Gas,yes,2006,Camry
36,BMW,6000.0,sedan,300,2.8,Petrol,yes,1996,528
37,BMW,67500.0,crossover,1,2.5,Diesel,yes,2016,X5
38,Audi,33900.0,other,14,1.8,Petrol,yes,2014,TT
39,Audi,2500.0,sedan,180,2.7867418728772444,Petrol,no,2000,A4
40,Mercedes-Benz,9800.0,van,230,2.15,Diesel,yes,2004,Vito
41,Mercedes-Benz,63000.0,crossover,86,5.5,Petrol,yes,2009,G 55 AMG
42,BMW,7700.0,sedan,326,2.8,Petrol,yes,1998,528
43,Mercedes-Benz,9600.0,van,30,2.2,Diesel,yes,2006,Vito
44,Toyota,12800.0,sedan,181,2.4,Petrol,yes,2008,Camry
45,BMW,41000.0,crossover,80,3.0,Petrol,yes,2012,X6
46,Mitsubishi,2500.0,sedan,220,2.4,Petrol,yes,1987,Galant
47,BMW,3700.0,sedan,231,2.5,Petrol,yes,1990,525
48,Mercedes-Benz,29500.0,sedan,134,5.0,Petrol,yes,2008,S 500
49,BMW,6500.0,sedan,335,2.8,Petrol,yes,1996,528
50,Mercedes-Benz,18939.537220470535,sedan,145,3.2,Diesel,yes,2007,E-Class
51,Renault,8250.0,van,66,1.5,Diesel,yes,2014,Kangoo
52,Mercedes-Benz,19500.0,crossover,172,3.5,Other,yes,2008,ML 350
53,Mercedes-Benz,13500.0,sedan,317,5.0,Petrol,yes,2001,S 500
54,Mercedes-Benz,9200.0,van,266,2.2,Diesel,yes,2008,Vito
55,Mercedes-Benz,18939.537220470535,crossover,0,3.0,Diesel,yes,2016,GLS 350
56,Toyota,10900.0,sedan,156,2.7867418728772444,Gas,yes,2005,Camry
57,Volkswagen,5000.0,vagon,265,2.0,Diesel,no,2006,Passat B6
58,BMW,23900.0,crossover,162,4.8,Petrol,yes,2007,X5
59,BMW,36900.0,sedan,81,3.0,Diesel,yes,2010,730
60,BMW,8900.0,other,253,1.8,Petrol,yes,1995,318
61,Renault,7800.0,van,200,1.9,Diesel,yes,2002,Trafic
62,BMW,133000.0,crossover,7,4.4,Petrol,yes,2015,X5 M
63,BMW,1650.0,sedan,270,1.8,Petrol,no,1995,318
64,Mercedes-Benz,50000.0,sedan,240,3.5,Petrol,yes,2006,S 350
65,Renault,9700.0,van,245,2.0,Diesel,yes,2008,Trafic
66,Mercedes-Benz,9999.0,van,127,2.2,Diesel,yes,2005,Vito
67,Audi,69999.0,crossover,21,3.0,Petrol,yes,2015,A6 Allroad
68,Mitsubishi,6500.0,sedan,152,1.6,Petrol,yes,2007,Lancer
69,Audi,4300.0,sedan,267,1.9,Diesel,no,2003,A6
70,Audi,3000.0,sedan,267,2.5,Diesel,no,1999,A6
71,Mercedes-Benz,8700.0,sedan,240,2.2,Diesel,yes,2000,E-Class
72,Renault,9000.0,vagon,178,2.0,Petrol,yes,2008,Scenic
73,Mercedes-Benz,20400.0,sedan,190,1.8,Gas,yes,2011,E-Class
74,BMW,9000.0,sedan,175,3.0,Petrol,no,2006,330
75,Mercedes-Benz,13400.0,sedan,105,1.8,Petrol,yes,2006,E-Class
76,Volkswagen,3700.0,sedan,195,1.9,Diesel,no,2001,Passat B5
